Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum
ST.INT.RCPT.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,57000000,89000000,147000000,165000000,167000000,179000000,121000000,86000000,62000000,16000000,50000000,85000000,75000000,1299000000
ST.INT.RCPT.CD,Albania,ALB,398000000,451000000,492000000,537000000,756000000,880000000,1057000000,1479000000,1850000000,2013000000,1778000000,1833000000,1623000000,1670000000,1849000000,1613000000,1821000000,2050000000,2306000000,2458000000,1243000000,30157000000
ST.INT.RCPT.CD,Algeria,DZA,..,..,..,..,..,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,316000000,347000000,246000000,171000000,196500000,140000000,50000000,4749500000
ST.INT.RCPT.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22000000,22000000,..,..,..,44000000
ST.INT.RCPT.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1910000000,..,1910000000
ST.INT.RCPT.CD,Angola,AGO,34000000,35000000,51000000,63000000,82000000,103000000,91000000,236000000,293000000,554000000,726000000,653000000,711000000,1241000000,1597000000,1171000000,628000000,884000000,557000000,395000000,19000000,10124000000
ST.INT.RCPT.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,803000000,802000000,844000000,820000000,854000000,992000000,416000000,5531000000
ST.INT.RCPT.CD,Argentina,ARG,3195000000,2756000000,1716000000,2306000000,2660000000,3209000000,3926000000,5030000000,5273000000,4455000000,5605000000,6058000000,5665000000,5199000000,5645000000,5441000000,5466000000,5830000000,5999000000,5654000000,1702000000,92790000000
ST.INT.RCPT.CD,Armenia,ARM,52000000,81000000,81000000,90000000,189000000,243000000,406000000,522000000,564000000,570000000,694000000,762000000,853000000,905000000,994000000,956000000,1037000000,1224000000,1358000000,1553000000,303000000,13437000000
ST.INT.RCPT.CD,Aruba,ABW,850000000,825000000,835000000,858099975.6,1057000000,1097000000,1064099976,1213400024,1352000000,1223000000,1254000000,1358000000,1412000000,1506000000,1625000000,1659000000,1757000000,1855000000,2035000000,2109000000,1077000000,28021599976
ST.INT.RCPT.CD,Australia,AUS,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000,47953000000,26234000000,5.96275E+11
ST.INT.RCPT.CD,Austria,AUT,11382000000,11511000000,12334000000,15128000000,17251000000,18471000000,..,..,..,..,..,..,..,..,..,20422000000,20965000000,22424000000,25413000000,25924000000,15362000000,2.16587E+11
ST.INT.RCPT.CD,Azerbaijan,AZE,68000000,57000000,63000000,70000000,79000000,100000000,201000000,317000000,382000000,545000000,792000000,1500000000,2634000000,2618000000,2713000000,2535000000,2855000000,3214000000,2830000000,2004099976,340000000,25917099976
ST.INT.RCPT.CD,"Bahamas, The",BHS,1753000000,1665000000,1773000000,1770000000,1897000000,2081000000,2066000000,2198000000,2155000000,2025000000,2159000000,2157000000,2333000000,2305000000,2336000000,2554000000,3091000000,2951000000,3756000000,4150000000,1007000000,48182000000
ST.INT.RCPT.CD,Bahrain,BHR,854000000,886000000,985000000,1206000000,1504000000,1603000000,1786000000,1854000000,1927000000,1873000000,2163000000,1766000000,1752000000,1875000000,1913000000,2827000000,4021000000,4380000000,3834000000,3860000000,724000000,43593000000
ST.INT.RCPT.CD,Bangladesh,BGD,..,..,59000000,59000000,76000000,82000000,..,..,..,77000000,103000000,97000000,105000000,131000000,154000000,150300003.1,214300003.1,348000000,357000000,391000000,217899993.9,2621500000
ST.INT.RCPT.CD,Barbados,BRB,795000000,728000000,695000000,840000000,843000000,905000000,1068000000,1198000000,1203000000,1076000000,1041000000,984000000,947000000,988000000,910000000,974000000,1071000000,..,..,..,..,16266000000
ST.INT.RCPT.CD,Belarus,BLR,188000000,272000000,295000000,339000000,362000000,346000000,401000000,479000000,585000000,563000000,665000000,747000000,986000000,1156000000,1230000000,1013000000,1019000000,1124500000,1221000000,1290000000,542000000,14823500000
ST.INT.RCPT.CD,Belgium,BEL,..,8304000000,7598000000,8848000000,10089000000,10881000000,11625000000,12369000000,..,12718000000,12680000000,14114000000,13704000000,14534000000,15249000000,8975000000,8784000000,9636000000,10319000000,10581000000,7447000000,2.08455E+11
ST.INT.RCPT.CD,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Benin,BEN,77400001.53,85500000,94500000,107900001.5,120900001.5,107699996.9,121599998.5,206300003.1,236399993.9,131399993.9,149399993.9,201000000,174000000,193000000,153000000,148000000,129000000,160000000,175000000,240860000.6,..,3012859985
ST.INT.RCPT.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,500000000,448000000,447000000,407000000,370000000,440000000,513000000,583000000,601000000,94000000,4403000000
ST.INT.RCPT.CD,Bhutan,BTN,10000000,9000000,8000000,8000000,13000000,19000000,36000000,47000000,47000000,51000000,64000000,76000000,93000000,116000000,99000000,120000000,139000000,153000000,121000000,120000000,84000000,1433000000
ST.INT.RCPT.CD,Bolivia,BOL,101000000,119000000,143000000,243000000,283000000,345000000,330000000,326000000,302000000,306000000,339000000,499000000,631000000,639000000,746000000,810000000,827000000,928000000,948000000,977000000,243000000,10085000000
ST.INT.RCPT.CD,Bosnia and Herz.,BIH,246000000,279000000,307000000,404000000,507000000,557000000,658000000,804000000,913000000,753000000,662000000,722000000,686000000,752000000,755000000,794000000,875000000,984000000,1147000000,1225000000,438000000,14468000000
ST.INT.RCPT.CD,Botswana,BWA,227000000,235000000,324000000,459000000,582000000,563000000,540000000,548299987.8,510700012.2,663599975.6,440100006.1,468299987.8,515599975.6,484200012.2,529299987.8,534299987.8,505000000,542010009.8,584200012.2,712400024.4,217000000,10185009979
ST.INT.RCPT.CD,Brazil,BRA,1969000000,1844000000,2142000000,2673000000,3389000000,4168000000,4577000000,5284000000,6109000000,5635000000,5522000000,6370000000,6623000000,6784000000,7405000000,6254000000,6613000000,6175000000,6324000000,6127000000,3099000000,1.05086E+11
ST.INT.RCPT.CD,British Virgin Islands,VGB,345000000,401000000,345000000,342000000,393000000,412000000,438000000,451000000,446000000,374000000,389000000,388000000,398000000,421000000,459000000,484000000,..,..,..,..,..,6486000000
ST.INT.RCPT.CD,Brunei,BRN,..,155000000,113000000,124000000,181000000,191000000,224000000,233000000,242000000,254000000,..,..,92000000,96000000,79000000,147000000,144000000,177000000,190000000,..,..,2642000000
ST.INT.RCPT.CD,Bulgaria,BGR,1364000000,1262000000,1392000000,2051000000,2796000000,3063000000,3317000000,4181000000,4852000000,4273000000,3807000000,4297000000,3975000000,4410000000,4518000000,3568000000,4148000000,4663000000,5061000000,4832000000,1792000000,73622000000
ST.INT.RCPT.CD,Burkina Faso,BFA,23000000,25000000,37000000,38000000,52000000,46000000,55000000,61000000,82000000,99000000,105000000,116000000,128000000,200000000,183000000,152000000,172000000,172000000,179000000,173000000,..,2098000000
ST.INT.RCPT.CD,Burundi,BDI,1399999.976,899999.9762,1600000.024,1200000.048,1799999.952,1899999.976,1600000.024,2299999.952,1600000.024,1700000.048,2099999.905,3700000.048,..,..,..,..,..,..,..,..,..,21799999.95
ST.INT.RCPT.CD,Cabo Verde,CPV,64000000,77000000,100000000,135000000,153000000,177000000,280000000,375000000,432000000,349000000,387000000,438000000,452000000,483000000,453000000,380000000,397000000,451000000,520000000,567000000,169000000,6839000000
ST.INT.RCPT.CD,Cambodia,KHM,345000000,429000000,509000000,441000000,673000000,929000000,1109000000,1169000000,1280000000,1463000000,1671000000,2258000000,2663000000,2895000000,3220000000,3419000000,3523000000,4024000000,4832000000,5312000000,1119000000,43283000000
ST.INT.RCPT.CD,Cameroon,CMR,132000000,182000000,124000000,266000000,212000000,229000000,231000000,254000000,167000000,271000000,171000000,423000000,377000000,607000000,629000000,476000000,508000000,544000000,633000000,681000000,437000000,7554000000
ST.INT.RCPT.CD,Canada,CAN,13035000000,12680000000,12744000000,12236000000,15135000000,15891000000,16837000000,17962000000,18190000000,15580000000,18440000000,19994000000,..,..,..,..,..,..,..,..,..,1.88724E+11
ST.INT.RCPT.CD,Cayman Islands,CYM,559000000,585000000,607000000,518000000,523000000,356000000,509000000,481000000,518000000,458000000,465000000,472000000,489000000,500000000,565000000,680000000,708000000,832000000,911000000,964000000,..,11700000000
ST.INT.RCPT.CD,Central African Republic,CAF,5000000,5000000,3000000,4000000,7800000.191,7199999.809,10199999.81,10800000.19,11800000.19,7500000,14399999.62,15000000,15000000,15600000.38,..,..,..,..,..,..,..,132300000.2
ST.INT.RCPT.CD,Chad,TCD,14000000,23000000,25000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62000000
ST.INT.RCPT.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Chile,CHL,1179000000,1184000000,1221000000,1309000000,1571000000,1608000000,1853000000,2224000000,2481000000,2380000000,2362000000,2723000000,3158000000,3171000000,3202000000,3412000000,3744000000,4115000000,3911000000,3279000000,1034000000,51121000000
ST.INT.RCPT.CD,China,CHN,17318000000,19006000000,21742000000,18707000000,27755000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04528E+11
ST.INT.RCPT.CD,Colombia,COL,1313000000,1483000000,1237000000,1191000000,1535000000,1891000000,2370000000,2616000000,2966000000,3080000000,3473000000,3841000000,4409000000,4819000000,4941000000,5281000000,5631000000,5899000000,6655000000,6784000000,1959000000,73374000000
ST.INT.RCPT.CD,Comoros,COM,15000000,9000000,10899999.62,15600000.38,21399999.62,24399999.62,27399999.62,30399999.62,37400001.53,32299999.24,35200000.76,42200000.76,39299999.24,..,62799999.24,51599998.47,50500000,60599998.47,73699996.95,72699996.95,18500000,730899990.1
ST.INT.RCPT.CD,Dem. Rep. Congo,COD,..,..,..,..,..,3200000,3100000,700000,700000,24000000,10700000,11400000,6900000,8400000,45400000,100000,4300000,6000000,60500000,..,..,185400000
ST.INT.RCPT.CD,Congo,COG,12399999.62,22600000.38,25600000.38,30000000,23100000.38,..,..,31399999.62,37000000,85000000,39000000,47000000,68000000,52400001.53,56900001.53,46900001.53,42900001.53,..,..,..,..,620200006.5
ST.INT.RCPT.CD,Costa Rica,CRI,1629000000,1480000000,1429000000,1573000000,1755000000,2008000000,2066000000,2454000000,2811000000,2216000000,2426000000,2646000000,2773000000,3171000000,3137000000,3408000000,3776000000,3758000000,4073000000,4282000000,1479000000,54350000000
ST.INT.RCPT.CD,Côte d'Ivoire,CIV,53000000,58000000,56000000,76000000,91000000,93000000,104000000,115000000,129000000,164000000,213000000,186000000,172500000,191000000,195000000,214000000,477000000,509000000,551000000,550500000,199300003.1,4397300003
ST.INT.RCPT.CD,Croatia,HRV,2871000000,3463000000,3952000000,6513000000,6945000000,7625000000,8296000000,9617000000,11615000000,9300000000,8299000000,9598000000,8912000000,9715000000,10079000000,8207000000,9215000000,10534000000,11348000000,11974000000,5631853027,1.7371E+11
ST.INT.RCPT.CD,Cuba,CUB,1948000000,1840000000,1769000000,1999000000,2114000000,2591000000,2414000000,2415000000,2535000000,2249000000,2396000000,2503000000,2614000000,2608000000,2546000000,2819000000,3069000000,3302000000,2783000000,2645000000,1152000000,50311000000
ST.INT.RCPT.CD,Curacao,CUW,227000000,271000000,217000000,223000000,224000000,244000000,277000000,329000000,383000000,378000000,438000000,540000000,676000000,778000000,820000000,712000000,644000000,572000000,604000000,706000000,282000000,9545000000
ST.INT.RCPT.CD,Cyprus,CYP,2137000000,2203000000,2178000000,2325000000,2552000000,2644000000,2692007568,3107000000,3232000000,2476000000,2137000000,2603000000,2603000000,2930000000,2924000000,2525664307,2870000000,3274000000,3449000000,3245000000,663000000,54769671875
ST.INT.RCPT.CD,Czechia,CZE,..,..,3376000000,4069000000,4931000000,5772000000,6702000000,7803000000,9228000000,8164000000,8068000000,8930000000,8174000000,7792000000,7614000000,6766000000,7041000000,7695000000,8283000000,7967000000,3890000000,1.32265E+11
ST.INT.RCPT.CD,Denmark,DNK,3671000000,4003000000,4791000000,5271000000,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9097000000,..,..,1.16215E+11
ST.INT.RCPT.CD,Djibouti,DJI,8100000,8600000,8900000,6900000,6800000,7100000,9800000,6800000,7800000,16000000,18000000,19200000,20500000,21600000,24700000,30900000,33500000,36200000,57000000,..,..,348400000
ST.INT.RCPT.CD,Dominica,DMA,48000000,46000000,46000000,52000000,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,198000000,161000000,111000000,..,..,1855000000
ST.INT.RCPT.CD,Dominican Rep.,DOM,2860000000,2798000000,2730000000,3128000000,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7561000000,..,..,85888000000
ST.INT.RCPT.CD,Ecuador,ECU,451000000,438000000,449000000,408000000,464000000,488000000,492000000,626000000,745000000,674000000,786000000,849000000,1039000000,1251000000,1487000000,1557000000,1729000000,2018000000,2279000000,2288000000,705000000,21223000000
ST.INT.RCPT.CD,Egypt,EGY,4657000000,4119000000,4133000000,4704000000,6328000000,7206000000,8133000000,10327000000,12104000000,11757000000,13633000000,9333000000,10823000000,6747000000,7979000000,6897000000,3306000000,8636000000,12704000000,14256000000,4874000000,1.72656E+11
ST.INT.RCPT.CD,El Salvador,SLV,437000000,452000000,521000000,664000000,748000000,656000000,686000000,793000000,711000000,549000000,646000000,729000000,900000000,1054000000,1285000000,1203000000,1161000000,1227000000,1370000000,1664000000,755000000,18211000000
ST.INT.RCPT.CD,Equatorial Guinea,GNQ,5000000,14000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19000000
ST.INT.RCPT.CD,Eritrea,ERI,36000000,74000000,73000000,74000000,73000000,66000000,60000000,61000000,46000000,26000000,..,..,..,..,..,..,48000000,..,..,..,..,637000000
ST.INT.RCPT.CD,Estonia,EST,657000000,661000000,737000000,883000000,1111000000,1229000000,1361000000,1416000000,1643000000,..,..,..,..,2022000000,2278000000,1893000000,1911000000,2124000000,2326000000,2310000000,865000000,25427000000
ST.INT.RCPT.CD,Eswatini,SWZ,24000000,23000000,45000000,70040000.92,75099998.47,77300003.05,75099998.47,32200000.76,26299999.24,40099998.47,51400001.53,10100000.38,29100000.38,4199999.809,15600000.38,14199999.81,13199999.81,13199999.81,16399999.62,14300000.19,7300000.191,677140001.3
ST.INT.RCPT.CD,Ethiopia,ETH,205000000,218000000,261000000,336000000,458000000,533000000,639000000,790000000,1184000000,1119000000,1434000000,1998000000,1980000000,2236000000,2107000000,2279000000,2138000000,2505000000,3548000000,3529000000,2282000000,31779000000
ST.INT.RCPT.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Fiji,FJI,291000000,316000000,384000000,496000000,588000000,722000000,684000000,722000000,952000000,688000000,825000000,955000000,989000000,966000000,1091000000,1094000000,1149000000,1243000000,1370000000,1345000000,236000000,17106000000
ST.INT.RCPT.CD,Finland,FIN,2035000000,2066000000,2238000000,2679000000,2977000000,3069000000,3515000000,4287000000,4875000000,4072000000,4496000000,5615000000,5418000000,5774000000,5409000000,4011000000,4017000000,5210000000,5762000000,5944000000,1757000000,85226000000
ST.INT.RCPT.CD,France,FRA,38706000000,37826000000,41113000000,46576000000,53068000000,52126000000,54615000000,63890000000,68034000000,58906000000,56178000000,66133000000,63975000000,66054000000,67402000000,66441000000,63557000000,67717000000,72518000000,70776000000,35958000000,1.21157E+12
ST.INT.RCPT.CD,French Polynesia,PYF,..,..,471000000,651000000,737000000,759000000,..,..,737000000,618000000,630000000,725000000,720000000,746000000,835000000,758000000,782000000,..,..,..,..,9169000000
ST.INT.RCPT.CD,Gabon,GAB,99000000,46000000,77000000,84000000,74000000,13000000,..,26000000,26500000,26200000.76,89000000,25399999.62,39500000,61200000.76,43500000,28700000.76,..,..,..,..,..,759000001.9
ST.INT.RCPT.CD,Gambia,GMB,..,..,..,58000000,51000000,59000000,69000000,87000000,80199996.95,64000000,80000000,86000000,104000000,78000000,110000000,92000000,88000000,128000000,174000000,157000000,53000000,1618199997
ST.INT.RCPT.CD,Georgia,GEO,107000000,136000000,144000000,172000000,209000000,287000000,361000000,440000000,505000000,537000000,737000000,1069000000,1565000000,1916000000,1972000000,2049000000,2315000000,2971000000,3518000000,3551000000,586000000,25147000000
ST.INT.RCPT.CD,Germany,DEU,24943000000,24182000000,26717000000,30129000000,36417000000,40518000000,45560000000,49320000000,53402000000,47499000000,49116000000,53465000000,51626000000,55486000000,58721000000,50669000000,52234000000,55750000000,59446000000,58372000000,..,9.23572E+11
ST.INT.RCPT.CD,Ghana,GHA,357000000,374000000,383000000,441000000,495000000,867000000,910000000,990000000,970000000,849000000,706000000,797000000,1154000000,1010000000,1027000000,911000000,952000000,919000000,996000000,1490000000,191000000,16789000000
ST.INT.RCPT.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Greece,GRC,9264000000,9219000000,10012000000,10852000000,12815000000,13455000000,14502000000,15683000000,17608000000,16038000000,13857000000,16269000000,14665000000,17433000000,19489000000,17547000000,16811000000,19139000000,21594000000,23003000000,6193000000,3.15448E+11
ST.INT.RCPT.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Grenada,GRD,93000000,83000000,91000000,104000000,86000000,71000000,94000000,129000000,127000000,112000000,112000000,117000000,122000000,120000000,388000000,422000000,437000000,482000000,548000000,..,..,3738000000
ST.INT.RCPT.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
ST.INT.RCPT.CD,Guatemala,GTM,498000000,588000000,647000000,646000000,630000000,791000000,919000000,1055000000,1098300049,1086300049,1053300049,1077400024,1110000000,1160699951,1164400024,1169500000,1202699951,1217599976,1235099976,1227199951,298500000,19875000000
ST.INT.RCPT.CD,Guinea,GIN,7800000.191,8199999.809,..,..,..,..,..,1100000.024,2400000.095,4900000.095,2039999.962,2119999.886,1679999.948,..,17100000.38,27000000,16600000.38,16600000.38,4699999.809,10399999.62,1289999.962,123930000.5
ST.INT.RCPT.CD,Guinea-Bissau,GNB,..,..,..,2400000.095,2200000.048,..,..,..,..,..,13600000.38,14500000,6800000.191,..,..,..,..,16440000.53,20000000,18920000.08,..,94860001.33
ST.INT.RCPT.CD,Guyana,GUY,80000000,65000000,53000000,28000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226000000
ST.INT.RCPT.CD,Haiti,HTI,128000000,105000000,108000000,96000000,93000000,80000000,126000000,190000000,360000000,416000000,383000000,456000000,447000000,546000000,578000000,609000000,511000000,460000000,620000000,..,..,6312000000
ST.INT.RCPT.CD,Honduras,HND,263000000,260000000,305000000,372000000,420000000,465000000,515700012.2,546599975.6,619799987.8,616099975.6,626700012.2,641500000,683700012.2,618000000,706000000,671000000,585000000,610000000,601000000,556000000,189000000,10871099976
ST.INT.RCPT.CD,"Hong Kong SAR, China",HKG,8198000000,7923000000,9849000000,9004000000,11874000000,13588000000,15541000000,18237000000,20236000000,20291000000,27208000000,33169000000,37098000000,42426000000,46352000000,42491000000,37838000000,38170000000,42313000000,32697000000,..,5.14503E+11
